product,country,correction_bnusd_per_mt_feed
eggs,BEL,-0.0
eggs,BEN,-0.11136982589960098
eggs,BFA,-0.12523166835308075
eggs,BGD,-0.09472950547933578
eggs,BGR,-0.0
eggs,BHS,-0.012841387651860714
eggs,BIH,-0.005587166175246239
eggs,BLR,0.0032426132820546627
eggs,BLZ,-0.044382598251104355
eggs,BOL,-0.03616652637720108
eggs,BRA,-0.02145899459719658
eggs,BRB,-0.032193996012210846
eggs,BRN,0.008479585871100426
eggs,BTN,-0.06318029761314392
eggs,BWA,-0.10951747745275497
eggs,CAF,-0.09872380644083023
eggs,CAN,-0.019158251583576202
eggs,CHE,0.0020139007829129696
eggs,CHL,-0.05110680311918259
eggs,CHN,0.02289409376680851
eggs,CIV,-0.08123143762350082
eggs,CMR,-0.09925519675016403
eggs,COD,-0.11095015704631805
eggs,COG,-0.08002454042434692
eggs,COL,-0.06805618852376938
eggs,COM,-0.06868509203195572
eggs,CPV,-0.027188075706362724
eggs,CRI,-0.08149336278438568
eggs,CUB,-0.06953325867652893
eggs,CYP,-0.0
eggs,CZE,-0.0
eggs,DEU,0.022383175790309906
eggs,DJI,-0.0
eggs,DNK,0.015272439457476139
eggs,DOM,-0.036733292043209076
eggs,DZA,-0.021892588585615158
eggs,ECU,-0.0830916166305542
eggs,EGY,-0.03471648693084717
eggs,ERI,-0.1175595298409462
eggs,ESP,-0.010318486019968987
eggs,EST,0.029389124363660812
eggs,ETH,-0.10929249972105026
eggs,FIN,-0.0002154527319362387
eggs,FJI,-0.034476131200790405
eggs,FRA,-0.0
eggs,GAB,-0.051422249525785446
eggs,GBR,-0.010034200735390186
eggs,GEO,-0.0014466580469161272
eggs,GHA,-0.08915157616138458
eggs,GIN,-0.11301769316196442
eggs,GMB,-0.09908860176801682
eggs,GNB,-0.12142340838909149
eggs,GNQ,-0.024146975949406624
eggs,GRC,-0.0
eggs,GRD,-0.07474194467067719
eggs,GTM,-0.05084173381328583
eggs,GUF,-0.0
eggs,GUY,-0.040916621685028076
eggs,HND,-0.04693728685379028
eggs,HRV,-0.0
eggs,HTI,-0.07547395676374435
eggs,HUN,-0.0
eggs,IDN,0.0011888601584360003
eggs,IND,-0.022730302065610886
eggs,IRL,-0.0
eggs,IRN,-0.031711794435977936
eggs,IRQ,0.007056096568703651
eggs,ISL,-0.04866623505949974
eggs,ISR,-0.033713843673467636
eggs,ITA,0.0015245307004079223
eggs,JAM,-0.08671724051237106
eggs,JOR,-0.02548050507903099
eggs,JPN,-0.05257752537727356
eggs,KAZ,-0.010866323485970497
eggs,KEN,-0.09961817413568497
eggs,KGZ,-0.026875905692577362
eggs,KHM,-0.04696870595216751
eggs,KOR,-0.03570103272795677
eggs,LAO,-0.08521496504545212
eggs,LBN,-0.029275326058268547
eggs,LBR,-0.12538869678974152
eggs,LBY,-0.04665258526802063
eggs,LKA,-0.0189562626183033
eggs,LSO,-0.11208662390708923
eggs,LTU,-0.0
eggs,LUX,0.06535119563341141
eggs,LVA,-0.0
eggs,MAR,-0.036940764635801315
eggs,MDA,0.02640381269156933
eggs,MDG,-0.0925784781575203
eggs,MEX,-0.03420212119817734
eggs,MKD,0.053424131125211716
