crop,country,correction_bnusd_per_mha
banana,GIN,0.03995568864047527
banana,GMB,-0.0
banana,GNB,-7.5
banana,GNQ,-7.5
banana,GRC,-7.5
banana,GRD,-1.7035444974899292
banana,GTM,-4.8937828540802
banana,GUF,7.5
banana,GUY,-7.5
banana,HND,-7.5
banana,HTI,-7.5
banana,IDN,-2.40777051448822
banana,IND,-2.0481019020080566
banana,IRN,-7.5
banana,IRQ,1.312692642211914
banana,ISR,-7.5
banana,JAM,-3.478766441345215
banana,JOR,-7.5
banana,KEN,-2.682283401489258
banana,KHM,-6.964678049087524
banana,LAO,-5.952932357788086
banana,LBN,-7.5
banana,LBR,-7.5
banana,LKA,-6.348289966583252
banana,MAR,-7.5
banana,MDG,-7.5
banana,MEX,-2.438135862350464
banana,MLI,-7.5
banana,MMR,-6.884520769119263
banana,MOZ,-7.5
banana,MRT,-6.831993579864502
banana,MUS,-2.833084464073181
banana,MWI,-7.5
banana,MYS,-3.8218833208084106
banana,NAM,-6.639789342880249
banana,NER,-7.313696384429932
banana,NGA,7.5
banana,NIC,-7.33636999130249
banana,NPL,-4.331275939941406
banana,OMN,-7.105948209762573
banana,PAK,-7.5
banana,PAN,-5.414254665374756
banana,PER,-7.5
banana,PHL,-6.6152801513671875
banana,PNG,-7.387063264846802
banana,PRI,-7.5
banana,PRT,-5.259737491607666
banana,PRY,-3.9487080574035645
banana,PSE,-7.5
banana,RWA,-5.575064182281494
banana,SAU,-5.232073545455933
banana,SDN,-6.239631175994873
banana,SEN,-7.5
banana,SLB,-7.5
banana,SLE,-7.5
banana,SLV,-1.8753422498703003
banana,SOM,-7.259095668792725
banana,SSD,-7.5
banana,STP,-7.5
banana,SUR,-7.5
banana,SWZ,-7.5
banana,SYR,-3.239781975746155
banana,TGO,-4.0379087924957275
banana,THA,-4.790240049362183
banana,TLS,-0.6576776206493378
banana,TTO,-7.5
banana,TUR,-7.5
banana,TWN,-5.809881210327148
banana,TZA,-2.3837788105010986
banana,UGA,-7.5
banana,URY,-6.260669708251953
banana,USA,-7.5
banana,VEN,-7.48350715637207
